Time,Lat,Lon,Alt,Speed_kmh,Sats,Fix
2025-12-24T11:54:20.934Z,38.90276400,121.68367500,72.70,2.17,12,1
2025-12-24T11:54:21.037Z,38.90276400,121.68367500,72.70,2.17,12,1
2025-12-24T11:54:21.132Z,38.90276400,121.68367500,72.70,2.17,12,1
2025-12-24T11:54:21.230Z,38.90276500,121.68368600,72.70,4.85,12,1
2025-12-24T11:54:21.329Z,38.90276500,121.68368600,72.70,4.85,12,1
2025-12-24T11:54:21.428Z,38.90276500,121.68368600,72.70,4.85,12,1
2025-12-24T11:54:21.528Z,38.90276500,121.68368600,72.70,4.85,12,1
2025-12-24T11:54:21.626Z,38.90276500,121.68368600,72.70,4.85,12,1
2025-12-24T11:54:21.726Z,38.90276500,121.68368600,72.70,4.85,12,1
2025-12-24T11:54:21.824Z,38.90276500,121.68368600,72.70,4.85,12,1
2025-12-24T11:54:21.956Z,38.90276500,121.68368600,72.70,4.85,12,1
2025-12-24T11:54:22.022Z,38.90276500,121.68368600,72.70,4.85,12,1
2025-12-24T11:54:22.121Z,38.90276700,121.68370600,72.70,7.82,12,1
2025-12-24T11:54:22.253Z,38.90276700,121.68370600,72.40,7.82,12,1
2025-12-24T11:54:22.352Z,38.90276700,121.68370600,72.40,7.82,12,1
2025-12-24T11:54:22.451Z,38.90276700,121.68370600,72.40,7.82,12,1
2025-12-24T11:54:22.549Z,38.90276700,121.68370600,72.40,7.82,12,1
2025-12-24T11:54:22.648Z,38.90276700,121.68370600,72.40,7.82,12,1
2025-12-24T11:54:22.747Z,38.90276700,121.68370600,72.40,7.82,12,1
2025-12-24T11:54:22.912Z,38.90276700,121.68370600,72.40,7.82,12,1
2025-12-24T11:54:22.946Z,38.90276700,121.68370600,72.40,7.82,12,1
2025-12-24T11:54:23.046Z,38.90276700,121.68370600,72.40,7.82,12,1
2025-12-24T11:54:23.143Z,38.90277100,121.68374100,71.90,13.52,12,1
2025-12-24T11:54:23.245Z,38.90277100,121.68374100,71.90,13.52,12,1
2025-12-24T11:54:23.343Z,38.90277100,121.68374100,71.90,13.52,12,1
